--------------------------------------------------
Marvellous Infosystem Process Log
Log file is created at : Wed Jun 18 08:55:58 2025
--------------------------------------------------
{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05859375} 
{'name': 'System', 'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.08203125} 
{'name': '', 'pid': 236, 'username': None, 'vms': 0.16796875} 
{'name': 'Registry', 'pid': 280, 'username': None, 'vms': 11.12890625} 
{'name': 'Code.exe', 'pid': 504, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 82.43359375} 
{'name': 'StartMenuExperienceHost.exe', 'pid': 516, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 83.17578125} 
{'name': 'winlogon.exe', 'pid': 520, 'username': None, 'vms': 2.6484375} 
{'name': 'conhost.exe', 'pid': 592, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.34765625} 
{'name': 'UserOOBEBroker.exe', 'pid': 712, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 1.7265625} 
{'name': 'smss.exe', 'pid': 864, 'username': None, 'vms': 1.14453125} 
{'name': 'svchost.exe', 'pid': 880, 'username': None, 'vms': 2.05078125} 
{'name': 'svchost.exe', 'pid': 1260, 'username': None, 'vms': 2.44921875} 
{'name': 'csrss.exe', 'pid': 1272, 'username': None, 'vms': 2.74609375} 
{'name': 'wininit.exe', 'pid': 1392, 'username': None, 'vms': 1.73046875} 
{'name': 'services.exe', 'pid': 1460, 'username': None, 'vms': 7.08984375} 
{'name': 'LsaIso.exe', 'pid': 1480, 'username': None, 'vms': 1.82421875} 
{'name': 'lsass.exe', 'pid': 1488, 'username': None, 'vms': 13.0078125} 
{'name': 'svchost.exe', 'pid': 1616, 'username': None, 'vms': 7.3046875} 
{'name': 'svchost.exe', 'pid': 1620, 'username': None, 'vms': 1.30078125} 
{'name': 'msedge.exe', 'pid': 1680, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 22.1171875} 
{'name': 'svchost.exe', 'pid': 1704, 'username': None, 'vms': 19.5390625} 
{'name': 'Code.exe', 'pid': 1716, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 10.6953125} 
{'name': 'WUDFHost.exe', 'pid': 1736, 'username': None, 'vms': 2.625} 
{'name': 'fontdrvhost.exe', 'pid': 1744, 'username': None, 'vms': 1.90234375} 
{'name': 'python.exe', 'pid': 1756, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 46.8984375} 
{'name': 'ShellExperienceHost.exe', 'pid': 1768, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 51.0625} 
{'name': 'svchost.exe', 'pid': 1868, 'username': None, 'vms': 11.265625} 
{'name': 'svchost.exe', 'pid': 1888, 'username': None, 'vms': 12.37890625} 
{'name': 'SystemSettings.exe', 'pid': 1928, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 146.9765625} 
{'name': 'svchost.exe', 'pid': 1932, 'username': None, 'vms': 3.66796875} 
{'name': 'WUDFHost.exe', 'pid': 1968, 'username': None, 'vms': 9.74609375} 
{'name': 'ShellHost.exe', 'pid': 1988, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 41.796875} 
{'name': 'svchost.exe', 'pid': 2128, 'username': None, 'vms': 3.96875} 
{'name': 'svchost.exe', 'pid': 2156, 'username': None, 'vms': 2.5} 
{'name': 'svchost.exe', 'pid': 2164, 'username': None, 'vms': 3.234375} 
{'name': 'svchost.exe', 'pid': 2172, 'username': None, 'vms': 2.70703125} 
{'name': 'svchost.exe', 'pid': 2180, 'username': None, 'vms': 2.9453125} 
{'name': 'nvcontainer.exe', 'pid': 2272, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 22.89453125} 
{'name': 'IntelCpHDCPSvc.exe', 'pid': 2284, 'username': None, 'vms': 1.55078125} 
{'name': 'svchost.exe', 'pid': 2316, 'username': None, 'vms': 3.62109375} 
{'name': 'svchost.exe', 'pid': 2352, 'username': None, 'vms': 2.26171875} 
{'name': 'svchost.exe', 'pid': 2448, 'username': None, 'vms': 6.671875} 
{'name': 'svchost.exe', 'pid': 2464, 'username': None, 'vms': 6.953125} 
{'name': 'svchost.exe', 'pid': 2488, 'username': None, 'vms': 2.328125} 
{'name': 'svchost.exe', 'pid': 2700, 'username': None, 'vms': 3.8203125} 
{'name': 'FileCoAuth.exe', 'pid': 2744, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 5.80859375} 
{'name': 'svchost.exe', 'pid': 2808, 'username': None, 'vms': 3.421875} 
{'name': 'svchost.exe', 'pid': 3016, 'username': None, 'vms': 1.953125} 
{'name': 'msedgewebview2.exe', 'pid': 3028, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.29296875} 
{'name': 'svchost.exe', 'pid': 3112, 'username': None, 'vms': 6.421875} 
{'name': 'NVDisplay.Container.exe', 'pid': 3148, 'username': None, 'vms': 37.3125} 
{'name': 'WUDFHost.exe', 'pid': 3228, 'username': None, 'vms': 2.0078125} 
{'name': 'svchost.exe', 'pid': 3252, 'username': None, 'vms': 17.03515625} 
{'name': 'svchost.exe', 'pid': 3284, 'username': None, 'vms': 34.125} 
{'name': 'svchost.exe', 'pid': 3340, 'username': None, 'vms': 2.6953125} 
{'name': 'svchost.exe', 'pid': 3356, 'username': None, 'vms': 3.59375} 
{'name': 'svchost.exe', 'pid': 3364, 'username': None, 'vms': 1.51953125} 
{'name': 'svchost.exe', 'pid': 3372, 'username': None, 'vms': 2.2109375} 
{'name': 'WUDFHost.exe', 'pid': 3480, 'username': None, 'vms': 5.1171875} 
{'name': 'svchost.exe', 'pid': 3600, 'username': None, 'vms': 2.09375} 
{'name': 'MemCompression', 'pid': 3620, 'username': None, 'vms': 1.2578125} 
{'name': 'svchost.exe', 'pid': 3672, 'username': None, 'vms': 4.05078125} 
{'name': 'svchost.exe', 'pid': 3720, 'username': None, 'vms': 2.4140625} 
{'name': 'svchost.exe', 'pid': 3728, 'username': None, 'vms': 2.6484375} 
{'name': 'svchost.exe', 'pid': 3876, 'username': None, 'vms': 1.96875} 
{'name': 'svchost.exe', 'pid': 3888, 'username': None, 'vms': 4.62890625} 
{'name': 'RuntimeBroker.exe', 'pid': 3896, 'username': 'LAPTOP-ECMIU6EK\\shail', 'vms': 2.46484375} 
{'name': 'svchost.exe', 'pid': 3948, 'username': None, 'vms': 1.76953125} 
{'name': 'AsusAppService.exe', 'pid': 4192, 'username': None, 'vms': 5.58984375} 
{'name': 'svchost.exe', 'pid': 4316, 'username': None, 'vms': 2.65234375} 
